================================================================================
BEST BETS RANKING REPORT
Generated: 2026-06-21 07:17:43 (Sunday)
Races ranked by score gap between 1st and 2nd place dogs.
Largest gap = strongest model confidence / best bet.
================================================================================
📊 GAP SUMMARY: median 3.14%  |  ≥20%: 5 race(s)  |  ≥10%: 18 race(s)  |  Total: 120 races
================================================================================

Rank  Track            Race       Gap  1st Dog                        1st%  2nd Dog                        2nd%
77    SALE             R6     1.8623%  Box 7 Fantastic Zohan        17.7838%  Box 3 Paw Zenith             15.9215%
78    HEALESVILLE      R8     1.8369%  Box 1 Waxing                 16.7589%  Box 8 Especial Kai           14.9220%
79    Capalaba         R9     1.8140%  Box 1 Armarta                17.9304%  Box 4 Aussie Zip             16.1164%
80    Q PARKLANDS      R10    1.6906%  Box 1 Bexley                 15.9729%  Box 3 Cheeky Belgin          14.2823%
81    HEALESVILLE      R5     1.6420%  Box 6 Little Master          14.6461%  Box 7 Mums Pearl             13.0041%
82    ROCKHAMPTON      R7     1.6354%  Box 1 Wyndra All Sass        17.9862%  Box 3 Fast Freddy            16.3508%
83    RICHMOND         R10    1.6247%  Box 2 Reborn Maverick        15.5474%  Box 8 Go Forward Tiger       13.9227%
84    SALE             R8     1.5485%  Box 1 Lethal Avenger         18.3277%  Box 7 Akina Johnny           16.7792%
85    ROCKHAMPTON      R5     1.4717%  Box 4 Apollo's Sun           12.6340%  Box 6 Pookie Bear            11.1623%
86    MT GAMBIER       R7     1.4556%  Box 1 Appellant              15.7406%  Box 6 Cheques To Burn        14.2850%
87    DUBBO            R3     1.3164%  Box 3 High Current           13.2753%  Box 1 Cobra Beach            11.9589%
88    Q PARKLANDS      R5     1.3159%  Box 3 Goldstar Annie         11.6128%  Box 4 Lumby                  10.2969%
89    Q PARKLANDS      R9     1.3118%  Box 3 Eternity Bridge        14.5356%  Box 1 Ethan's Brother        13.2238%
90    SALE             R1     1.2465%  Box 1 Dr. York               16.6326%  Box 7 Deep Talent            15.3861%
91    Q PARKLANDS      R4     1.1276%  Box 5 Cheers Carla           12.6155%  Box 3 Maggie's Song          11.4879%
92    RICHMOND         R5     1.0987%  Box 6 Corless A Rebel        15.4913%  Box 2 Creeping Clover        14.3926%
93    DARWIN           R4     1.0737%  Box 3 Sky By Night           14.4945%  Box 7 Stockman George        13.4208%
94    DUBBO            R10    0.9987%  Box 5 Hybrid Blue            14.0085%  Box 3 Spring Fred            13.0098%
95    Q PARKLANDS      R1     0.9931%  Box 1 Kicker Sparkles        13.1113%  Box 4 Sister Charm           12.1182%
96    Capalaba         R12    0.9898%  Box 1 Jet Springer           15.2548%  Box 4 Farmor Relief          14.2650%
97    RICHMOND         R7     0.9520%  Box 6 Florida Line           10.3443%  Box 3 Batgirl                 9.3923%
98    MT GAMBIER       R4     0.8954%  Box 8 Canya Feel It          18.6664%  Box 4 Ollie Limes            17.7710%
99    BROKEN HILL      R9     0.8705%  Box 4 Taz Maniac             20.9023%  Box 8 Skedaddle Lulu         20.0318%
100   DARWIN           R6     0.8625%  Box 6 Sydney Surcharge       15.8626%  Box 4 Daniel Sparkles        15.0001%
101   GAWLER           R5     0.8362%  Box 5 Dark Moonshine         18.6452%  Box 1 Long Gully Ash         17.8090%
102   BROKEN HILL      R7     0.8279%  Box 7 Thundering Lady        12.1285%  Box 6 Christoff              11.3006%
103   HEALESVILLE      R12    0.7457%  Box 1 Happy Chick            10.6166%  Box 4 Aston Rennes            9.8709%
104   Q PARKLANDS      R12    0.7421%  Box 6 Jimmy Legs             10.1667%  Box 4 Installer               9.4246%
