Box,DogName,FormNumber,Trainer,SexAge,Weight,Draw,CareerWins,CareerPlaces,CareerStarts,PrizeMoney,RTC,DLR,DLW,RaceNumber,RaceDate,RaceTime,Track,Distance,BestTimeSec,SectionalSec,Last3TimesSec,Margins,BoxBiasFactor,TrackConditionAdj,Speed_kmh,EarlySpeedIndex,FinishConsistency,MarginAvg,FormMomentum,ConsistencyIndex,RecentFormBoost,DistanceSuit,TrainerStrikeRate,RestFactor,OverexposedPenalty,FinalScore
1,Del Mar Deb,25221,Kaylene Hatzi,2b,0.0,1,3,6,17,6665.0,18,7,7,7,2025-10-19,08:58PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.17647058823529413,0.5,0.7,0.15,0.8,0.0,26.07704564074763
2,Franky Be Good,57478,Terry Gaiter,3d,0.0,2,1,7,25,3275.0,26,7,70,7,2025-10-19,08:58PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.04,0.5,0.7,0.15,0.8,0.0,25.724398581924103
3,Adhana Phillip,53646,Judith Hurley,2d,0.0,3,2,4,19,1480.0,20,5,40,7,2025-10-19,08:58PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.10526315789473684,1.0,0.7,0.15,0.8,0.0,25.601424897713574
4,Miami Riot,22575,Tegan Gray,2b,0.0,4,2,5,23,4655.0,18,7,343,7,2025-10-19,08:58PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.08695652173913043,0.5,0.7,0.15,0.8,0.0,25.867094234098012
6,Camel Camp,66253,Graham Whitford,4b,0.0,6,4,16,51,12285.0,26,7,224,7,2025-10-19,08:58PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.0784313725490196,0.5,0.7,0.15,0.8,0.0,26.629241719179003
7,Maybe Time,67425,Wade Hipwell,3b,0.0,7,2,8,18,4690.0,13,7,210,7,2025-10-19,08:58PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.1111111111111111,0.5,0.7,0.15,0.8,0.0,25.873009693035215
8,Ronny's Return,46457,Kaylene Hatzi,3d,0.0,8,5,10,52,10755.0,29,7,56,7,2025-10-19,08:58PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.09615384615384616,0.5,0.7,0.15,0.8,0.0,26.478013966539486
1,Introduced,52257,Kaylene Hatzi,2b,0.0,1,3,5,21,2720.0,22,7,64,8,2025-10-19,09:16PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.14285714285714285,0.5,0.7,0.15,0.8,0.0,25.679184296209815
2,Possible,82314,Clayton Trengove,2b,0.0,2,3,14,31,8805.0,32,7,14,8,2025-10-19,09:16PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.0967741935483871,0.5,0.7,0.15,0.8,0.0,26.28307600127894
3,Computer Man,71473,Lorraine Robertson,2d,0.0,3,4,8,25,5790.0,22,7,35,8,2025-10-19,09:16PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.16,0.5,0.7,0.15,0.8,0.0,25.9878985819241
