Date,Track,RaceNumber,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Position8,Position9,Position10
2025-12-28,Sale,R6,8,2,6,4,,,,,,
2025-12-28,Sale,R7,2,1,3,8,,,,,,
2025-12-28,Sale,R8,7,6,8,2,,,,,,
2025-12-28,Sale,R9,6,8,1,3,,,,,,
2025-12-28,Sale,R10,2,7,1,4,,,,,,
2025-12-28,Sale,R11,6,1,4,7,,,,,,
2025-12-28,Sale,R12,8,3,1,5,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R1,2,8,10,5,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R2,3,2,5,6,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R3,8,5,7,6,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R4,4,7,3,2,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R5,4,6,5,8,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R6,3,2,1,5,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R7,2,7,3,1,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R8,3,6,2,8,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R9,7,5,1,8,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R10,3,8,5,7,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R11,1,4,5,9,,,,,,
2025-12-28,Ladbrokes Q1 Lakeside,R12,3,8,4,5,,,,,,
2025-12-28,BetDeluxe Rockhampton,R1,6,7,1,8,,,,,,
2025-12-28,BetDeluxe Rockhampton,R2,2,3,1,5,,,,,,
2025-12-28,BetDeluxe Rockhampton,R3,4,7,5,2,,,,,,
2025-12-28,BetDeluxe Rockhampton,R4,1,6,2,8,,,,,,
2025-12-28,BetDeluxe Rockhampton,R5,7,8,3,1,,,,,,
2025-12-28,BetDeluxe Rockhampton,R6,1,4,5,9,,,,,,
2025-12-28,BetDeluxe Rockhampton,R7,5,6,1,2,,,,,,
2025-12-28,BetDeluxe Rockhampton,R8,6,2,4,1,,,,,,
2025-12-28,Gawler,R1,3,7,5,1,,,,,,
2025-12-28,Gawler,R2,1,2,4,8,,,,,,
2025-12-28,Gawler,R3,8,6,2,1,,,,,,
2025-12-28,Gawler,R4,1,7,3,5,,,,,,
2025-12-28,Gawler,R5,4,6,1,2,,,,,,
2025-12-28,Gawler,R6,1,8,4,2,,,,,,
2025-12-28,Gawler,R7,1,2,4,8,,,,,,
2025-12-28,Gawler,R8,1,2,4,8,,,,,,
