Track,Date,Race,Winner
Ladbrokes Q Straight,2025-12-04,R11,3
Ladbrokes Q Straight,2025-12-04,R12,3
Warragul,2025-12-04,R1,3
Warragul,2025-12-04,R2,7
Warragul,2025-12-04,R3,3
Warragul,2025-12-04,R4,1
Warragul,2025-12-04,R5,8
Warragul,2025-12-04,R6,2
Warragul,2025-12-04,R7,3
Warragul,2025-12-04,R8,7
Warragul,2025-12-04,R9,2
Warragul,2025-12-04,R10,8
Warragul,2025-12-04,R11,7
Warragul,2025-12-04,R12,2
Ballarat,2025-12-04,R1,1
Ballarat,2025-12-04,R2,5
Ballarat,2025-12-04,R3,1
Ballarat,2025-12-04,R4,1
Ballarat,2025-12-04,R5,1
Ballarat,2025-12-04,R6,5
Ballarat,2025-12-04,R7,7
Ballarat,2025-12-04,R8,8
Ballarat,2025-12-04,R9,7
Ballarat,2025-12-04,R10,4
Ballarat,2025-12-04,R11,8
Ballarat,2025-12-04,R12,4
Sandown,2025-12-04,R1,5
Sandown,2025-12-04,R2,4
Sandown,2025-12-04,R3,4
Sandown,2025-12-04,R4,7
Sandown,2025-12-04,R5,6
Sandown,2025-12-04,R6,6
Sandown,2025-12-04,R7,2
Sandown,2025-12-04,R8,7
Sandown,2025-12-04,R9,4
Sandown,2025-12-04,R10,4
Sandown,2025-12-04,R11,2
Sandown,2025-12-04,R12,8
Angle Park,2025-12-04,R1,5
Angle Park,2025-12-04,R2,1
Angle Park,2025-12-04,R3,4
Angle Park,2025-12-04,R4,7
Angle Park,2025-12-04,R5,2
Angle Park,2025-12-04,R6,7
Angle Park,2025-12-04,R7,5
Angle Park,2025-12-04,R8,4
Angle Park,2025-12-04,R9,1
Angle Park,2025-12-04,R10,2
Angle Park,2025-12-04,R11,2
Angle Park,2025-12-04,R12,2
Hobart,2025-12-04,R1,8
Hobart,2025-12-04,R2,2
Hobart,2025-12-04,R3,8
Hobart,2025-12-04,R4,1
Hobart,2025-12-04,R5,8
Hobart,2025-12-04,R6,1
Hobart,2025-12-04,R7,1
Hobart,2025-12-04,R8,2
Hobart,2025-12-04,R9,8
Hobart,2025-12-04,R10,1
Ladbrokes Q1 Lakeside,2025-12-04,R1,2
Ladbrokes Q1 Lakeside,2025-12-04,R2,2
Ladbrokes Q1 Lakeside,2025-12-04,R3,4
Ladbrokes Q1 Lakeside,2025-12-04,R4,5
Ladbrokes Q1 Lakeside,2025-12-04,R5,2
Ladbrokes Q1 Lakeside,2025-12-04,R6,8
Ladbrokes Q1 Lakeside,2025-12-04,R7,2
Ladbrokes Q1 Lakeside,2025-12-04,R8,3
Ladbrokes Q1 Lakeside,2025-12-04,R9,8
Ladbrokes Q1 Lakeside,2025-12-04,R10,2
Ladbrokes Q1 Lakeside,2025-12-04,R11,7
Ladbrokes Q1 Lakeside,2025-12-04,R12,7
Mandurah,2025-12-04,R1,1
Mandurah,2025-12-04,R2,7
Mandurah,2025-12-04,R3,2
Mandurah,2025-12-04,R4,4
Mandurah,2025-12-04,R5,1
Mandurah,2025-12-04,R6,1
Mandurah,2025-12-04,R7,3
Mandurah,2025-12-04,R8,8
Mandurah,2025-12-04,R9,5
Mandurah,2025-12-04,R10,7
Mandurah,2025-12-04,R11,1
Mandurah,2025-12-04,R12,2
