Date,Track,RaceNumber,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Position8,Position9,Position10
2025-12-31,Meadows,R3,3,4,1,6,,,,,,
2025-12-31,Meadows,R4,1,4,6,8,,,,,,
2025-12-31,Meadows,R5,8,4,2,1,,,,,,
2025-12-31,Meadows,R6,8,3,1,4,,,,,,
2025-12-31,Meadows,R7,2,4,8,7,,,,,,
2025-12-31,Meadows,R8,1,8,3,4,,,,,,
2025-12-31,Meadows,R9,1,2,8,4,,,,,,
2025-12-31,Meadows,R10,6,8,4,2,,,,,,
2025-12-31,Meadows,R11,7,4,1,5,,,,,,
2025-12-31,BetDeluxe Rockhampton,R1,3,4,1,2,,,,,,
2025-12-31,BetDeluxe Rockhampton,R2,1,7,2,8,,,,,,
2025-12-31,BetDeluxe Rockhampton,R3,4,1,8,2,,,,,,
2025-12-31,BetDeluxe Rockhampton,R4,8,4,7,1,,,,,,
2025-12-31,BetDeluxe Rockhampton,R5,3,6,2,8,,,,,,
2025-12-31,BetDeluxe Rockhampton,R6,6,5,4,8,,,,,,
2025-12-31,BetDeluxe Rockhampton,R7,7,1,6,4,,,,,,
2025-12-31,BetDeluxe Rockhampton,R8,6,7,1,2,,,,,,
2025-12-31,Cannington,R1,5,4,7,1,,,,,,
2025-12-31,Cannington,R2,8,7,1,5,,,,,,
2025-12-31,Cannington,R3,4,7,2,5,,,,,,
2025-12-31,Cannington,R4,5,8,2,1,,,,,,
2025-12-31,Cannington,R5,5,3,8,1,,,,,,
2025-12-31,Cannington,R6,7,5,4,1,,,,,,
2025-12-31,Cannington,R7,1,5,4,7,,,,,,
2025-12-31,Cannington,R8,7,4,5,6,,,,,,
2025-12-31,Cannington,R9,1,4,5,7,,,,,,
2025-12-31,Cannington,R10,1,5,2,4,,,,,,
2025-12-31,Cannington,R11,7,6,8,3,,,,,,
2025-12-31,Cannington,R12,2,1,7,8,,,,,,
